Name,Age,Party Code,Criminal Cases,Education Level,Movable Assets,Immovable Assets,Total Assets,Total Liabilities,PAN Given(Y/N),candidate_link,constituency_id,constituency_name
Prakash Sharma,31,Citizen Action Party-Sikkim,No,Graduate,,"59,35,700~ 59 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=54,3,MANEYBONG-DENTAM
Sudesh Kumar Subba,48,Sikkim Krantikari Morcha,No,Graduate,,"1,71,69,173~ 1 Crore+",,"90,60,648~ 90 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=57,3,MANEYBONG-DENTAM
Tika Ram Chettri,63,Sikkim Democratic Front,No,Graduate,,"1,51,47,500~ 1 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=55,3,MANEYBONG-DENTAM
Pamin Lepcha,39,Sikkim Krantikari Morcha,No,Post Graduate,,"37,91,38,358~ 37 Crore+",,"20,00,000~ 20 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=41,30,GNATHANG-MACHONG (BL)
Phuri Sherpa,49,Citizen Action Party-Sikkim,No,10th Pass,,"92,56,000~ 92 Lacs+",,"15,63,500~ 15 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=39,30,GNATHANG-MACHONG (BL)
Sangay Gyatso Bhutia,42,BJP,No,Graduate,,"25,30,00,000~ 25 Crore+",,"40,49,882~ 40 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=40,30,GNATHANG-MACHONG (BL)
Tshering Pema Bhutia,37,INC,No,8th Pass,,"24,00,000~ 24 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=38,30,GNATHANG-MACHONG (BL)
Tshering Wangdi Lepcha,56,Sikkim Democratic Front,No,5th Pass,,"10,17,60,717~ 10 Crore+",,"1,70,00,456~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=4,30,GNATHANG-MACHONG (BL)
Pawan Kumar Chamling,73,Sikkim Democratic Front,No,Doctorate,,"20,96,30,000~ 20 Crore+",,"5,37,12,180~ 5 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=68,31,NAMCHEYBUNG
Pooja Sharma,37,BJP,No,Post Graduate,,"4,60,00,000~ 4 Crore+",,"1,01,31,504~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=66,31,NAMCHEYBUNG
Raju Basnet,55,Sikkim Krantikari Morcha,No,Post Graduate,,"29,41,11,436~ 29 Crore+",,"1,11,76,797~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=69,31,NAMCHEYBUNG
Severine Rai,42,Citizen Action Party-Sikkim,No,Graduate,,"40,00,000~ 40 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=70,31,NAMCHEYBUNG
Norcho Lepcha,34,Citizen Action Party-Sikkim,No,12th Pass,,"35,00,000~ 35 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=102,32,SANGHA
Sonam Lama,48,Sikkim Krantikari Morcha,No,12th Pass,,"4,69,81,258~ 4 Crore+",,"5,95,016~ 5 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=13,32,SANGHA
Tseten Tashi Bhutia,62,BJP,No,Others,,"3,69,52,406~ 3 Crore+",,"53,07,360~ 53 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=103,32,SANGHA
Tshering Lama,59,Sikkim Democratic Front,No,Post Graduate,,"1,23,17,000~ 1 Crore+",,"89,760~ 89 Thou+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=104,32,SANGHA
Bharat Kumar Sharma,51,BJP,No,Post Graduate,,"50,00,000~ 50 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=42,4,GYALSHING-BARNYAK
Khusandra Prasad Sharma,45,IND,No,10th Pass,,"1,12,51,74,640~ 112 Crore+",,"37,14,43,543~ 37 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=5,4,GYALSHING-BARNYAK
Lok Nath Sharma,51,Sikkim Krantikari Morcha,No,12th Pass,,"5,27,81,617~ 5 Crore+",,"1,59,88,190~ 1 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=45,4,GYALSHING-BARNYAK
Pujan Kharka,37,Citizen Action Party-Sikkim,No,Post Graduate,,"27,58,005~ 27 Lacs+",,"6,77,000~ 6 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=43,4,GYALSHING-BARNYAK
Tika Prasad Sharma,45,Sikkim Democratic Front,No,Doctorate,,"2,59,00,000~ 2 Crore+",,"1,75,149~ 1 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=44,4,GYALSHING-BARNYAK
Dawa Ongdi Lepcha,54,Citizen Action Party-Sikkim,No,10th Pass,,"5,70,821~ 5 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=96,5,RINCHENPONG (BL)
Erung Tenzing Lepcha,32,Sikkim Krantikari Morcha,No,Graduate,,"28,85,00,355~ 28 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=95,5,RINCHENPONG (BL)
Norden Bhutia,46,Sikkim Democratic Front,No,10th Pass,,"5,16,45,715~ 5 Crore+",,"18,45,220~ 18 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=97,5,RINCHENPONG (BL)
Sancho Lepcha,31,BJP,No,Graduate,,0~,,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=94,5,RINCHENPONG (BL)
Mingma Norbu Sherpa,54,Sikkim Krantikari Morcha,No,Graduate,,"4,61,10,798~ 4 Crore+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=28,6,DARAMDIN (BL)
Pem Dorjee Sherpa,47,Citizen Action Party-Sikkim,No,Graduate Professional,,"40,00,000~ 40 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=1,6,DARAMDIN (BL)
Pem Norbu Sherpa,44,Sikkim Democratic Front,No,Graduate,,"14,30,308~ 14 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=29,6,DARAMDIN (BL)
Phurba Dorjee Sherpa,68,BJP,No,Graduate,,"23,23,08,650~ 23 Crore+",,"3,21,89,371~ 3 Crore+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=30,6,DARAMDIN (BL)
Dr. A D Subba,59,Sikkim Democratic Front,No,Graduate Professional,,"70,84,461~ 70 Lacs+",,0~,Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=112,7,SORENG-CHAKUNG
P S Tamang,56,Sikkim Krantikari Morcha,Yes   1,Graduate,,"4,76,17,300~ 4 Crore+",,"15,00,000~ 15 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=113,7,SORENG-CHAKUNG
Pobin Hang Subba,34,Citizen Action Party-Sikkim,No,Post Graduate,,0~,,"8,00,000~ 8 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=110,7,SORENG-CHAKUNG
Purna Singh Subba,62,BJP,No,Graduate,,"2,18,00,000~ 2 Crore+",,"2,60,000~ 2 Lacs+",Y,http://myneta.info/Sikkim2024/candidate.php?candidate_id=111,7,SORENG-CHAKUNG
